priority,site,region,type,example_url,reason,status
P1,Khaleej Times Travel,UAE,News,https://www.khaleejtimes.com/travel,High GCC authority and travel category relevance,Planned
P1,Gulf News Travel,UAE,News,https://gulfnews.com/travel,Mainstream GCC audience with tourism coverage,Planned
P1,Arab News Travel,Saudi Arabia,News,https://www.arabnews.com/travel,Strong KSA reach and travel/experience content,Planned
P1,Saudi Gazette Travel,Saudi Arabia,News,https://saudigazette.com.sa,Saudi visibility and business travelers,Planned
P1,Akhbaar24 Travel,Saudi Arabia,Portal,https://akhbaar24.argaam.com,Popular Saudi portal with local discovery traffic,Planned
P1,Al Bayan Travel,UAE,News,https://www.albayan.ae,Arabic editorial trust in UAE,Planned
P1,Al Khaleej Travel,UAE,News,https://www.alkhaleej.ae,Regional Arabic authority and business readership,Planned
P1,Qatar Living Travel,Qatar,Forum/Portal,https://www.qatarliving.com,Expat + family travel intent and practical guides,Planned
P1,The Peninsula Qatar,Qatar,News,https://thepeninsulaqatar.com,Local Qatar audience and travel lifestyle section,Planned
P1,Kuwait Times Travel,Kuwait,News,https://www.kuwaittimes.com,Country-specific Kuwait search relevance,Planned
P1,Arab Traveler,Regional,Travel Portal,https://www.arabtrvl.com,Arabic travel-focused readership and backlinks,Planned
P1,Salaam Gateway,Regional,Industry Portal,https://www.salaamgateway.com,Halal and family-travel alignment,Planned
P1,HalalTrip,Regional,Travel Platform,https://www.halaltrip.com,Direct halal tourism niche relevance,Planned
P1,Musafir Blog,Regional,OTA Blog,https://www.musafir.com,High travel intent audience from GCC,Planned
P1,Wego Arabic Blog,Regional,OTA Blog,https://blog.wego.com/ar,Search visibility and regional discoverability,Planned
P2,Rehlat Blog,Regional,OTA Blog,https://www.rehlat.com,Travel-intent audiences in GCC countries,Planned
P2,TravTalk Middle East,Regional,B2B Media,https://www.travtalkmiddleeast.com,Trade partnerships and PR opportunities,Planned
P2,Tourism Breaking News MENA,Regional,Trade Media,https://www.tourismbreakingnews.ae,Travel industry backlinks and mentions,Planned
P2,Almosafer Forum Threads,Saudi Arabia,Community,https://www.almosafer.com,Keyword-rich UGC travel discovery,Planned
P2,Expat Woman Travel,UAE,Lifestyle,https://www.expatwoman.com,Family and women traveler audience in GCC,Planned
